Debit/Credit,Date,Description,Table Heading, Amount , Outstanding Balance ,,,In QB?,Date,Account
,,Opening Balance,,,"449,982.50",,,,,
Credit,6/1/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,371.25,"450,353.75",,0,Y,6/1/2018,1000 Membership:NMA1200 New Affiliate
Debit,6/1/2018,06/01 Online Transfer To Chk ...7365 Transaction#: 7195928954,Electronic Withdrawals,"-6,675.00","443,678.75",,0,,,
Debit,6/1/2018,Card Purchase 05/31 Fedexoffice 00000828 800-4633339 TX Card 0698,Atm & Debit Card Withdrawals,-57.49,"443,621.26",,0,,,
Debit,6/1/2018,Card Purchase 05/31 Www.Maxflatow.Com Www.Maxflatow NY Card 0698,Atm & Debit Card Withdrawals,-830,"442,791.26",,0,,,
Credit,6/4/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,163.75,"442,955.01",,0,,,
Debit,6/4/2018,Bankcard-8566 Mtot Disc 518089424394518 CCD ID: 1592126793,Electronic Withdrawals,-393.31,"442,561.70",,0,,,
Debit,6/4/2018,Card Purchase 06/02 Greenwich St Parking Ll New York NY Card 0698,Atm & Debit Card Withdrawals,-132,"442,429.70",,0,,,
Debit,6/4/2018,Card Purchase 06/04 Amazon Mktplace Pmts Amzn.Com/Bill WA Card 0698,Atm & Debit Card Withdrawals,-11.46,"442,418.24",,0,,,
Debit,6/4/2018,Card Purchase 06/01 Linode.Com 855-4546633 NJ Card 0698,Atm & Debit Card Withdrawals,-35,"442,383.24",,0,,,
Credit,6/4/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,123.75,"442,506.99",,0,,,
Debit,6/5/2018,"Bluepay,Inc. 8667398324 100573263055 CCD ID: 0000000380",Electronic Withdrawals,-39.95,"442,467.04",,0,,,
Debit,6/5/2018,Card Purchase 06/04 Amazon.Com Amzn.Com/Bill WA Card 0698,Atm & Debit Card Withdrawals,-14.49,"442,452.55",,0,,,
Credit,6/5/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,20,"442,472.55",,0,,,
Debit,6/5/2018,Service Charges For The Month of May,Fees,-34.95,"442,437.60",,0,,,
Credit,6/6/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,220,"442,657.60",,0,,,
Debit,6/6/2018,Card Purchase With Pin 06/06 Staples 1106 New York NY Card 0698,Atm & Debit Card Withdrawals,-92.03,"442,565.57",,0,,,
Debit,6/7/2018,06/07 Online ACH Payment 5201627419 To Michele Cobb (_######6800),Electronic Withdrawals,"-11,353.16","431,212.41",,0,,,
Credit,6/7/2018,Remote Online Deposit 1,Deposits And Additions,"6,500.00","437,712.41",,0,,,
Credit,6/7/2018,Remote Online Deposit 1,Deposits And Additions,900,"438,612.41",,0,,,
Debit,6/7/2018,Card Purchase 06/06 Amazon.Com Amzn.Com/Bill WA Card 0698,Atm & Debit Card Withdrawals,-27.71,"438,584.70",,0,,,
Debit,6/7/2018,Card Purchase With Pin 06/07 Usps PO 35965800 201 V New York NY Card 0698,Atm & Debit Card Withdrawals,-37.62,"438,547.08",,0,,,
Credit,6/7/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,505,"439,052.08",,0,,,
Debit,6/8/2018,Card Purchase With Pin 06/08 Usps PO 35965800 201 V New York NY Card 0698,Atm & Debit Card Withdrawals,-35.85,"439,016.23",,0,,,
Debit,6/8/2018,"Card Purchase 06/07 Sq *Graphic Executions, New York NY Card 0698",Atm & Debit Card Withdrawals,"-3,215.08","435,801.15",,0,,,
Credit,6/8/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,163.75,"435,964.90",,0,,,
Debit,6/8/2018,"Card Purchase 06/07 Sq *Graphic Executions, New York NY Card 0698",Atm & Debit Card Withdrawals,"-1,277.10","434,687.80",,0,,,
Credit,6/11/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,225,"434,912.80",,0,,,
Credit,6/11/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,20,"434,932.80",,0,,,
Debit,6/11/2018,Recurring Card Purchase 06/09 Fedex 384343183 800-4633339 TN Card 0698,Atm & Debit Card Withdrawals,-37.92,"434,894.88",,0,,,
Credit,6/11/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,20,"434,914.88",,0,,,
Debit,6/11/2018,"06/11 Online Payment 7222152934 To The Harry Walker Agency, Inc.",Electronic Withdrawals,-339.5,"434,575.38",,0,,,
Debit,6/11/2018,Card Purchase With Pin 06/11 Usps PO 35965800 201 V New York NY Card 0698,Atm & Debit Card Withdrawals,-27.45,"434,547.93",,0,,,
Debit,6/11/2018,06/11 Online Payment 7222151667 To Over The River Public Relations,Electronic Withdrawals,-152.5,"434,395.43",,0,,,
Debit,6/13/2018,Recurring Card Purchase 06/12 Fedex 384680479 800-4633339 TN Card 0698,Atm & Debit Card Withdrawals,-53.6,"434,341.83",,0,,,
Credit,6/13/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,25,"434,366.83",,0,,,
Credit,6/14/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,143.75,"434,510.58",,0,,,
Debit,6/14/2018,Recurring Card Purchase 06/14 Rackspace Email & App 210-312-4000 TX Card 0698,Atm & Debit Card Withdrawals,-10,"434,500.58",,0,,,
Debit,6/14/2018,Recurring Card Purchase 06/13 Fedex 170220862 800-4633339 TN Card 0698,Atm & Debit Card Withdrawals,-78.71,"434,421.87",,0,,,
Debit,6/14/2018,Recurring Card Purchase 06/13 Vbs*Vonage Business 866-901-0242 GA Card 0698,Atm & Debit Card Withdrawals,-88.6,"434,333.27",,0,,,
Credit,6/15/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,223.75,"434,557.02",,0,,,
Debit,6/15/2018,Recurring Card Purchase 06/14 Fedex 170264100 800-4633339 TN Card 0698,Atm & Debit Card Withdrawals,-78.71,"434,478.31",,0,,,
Debit,6/18/2018,Card Purchase 06/17 Amazon Mktplace Pmts Amzn.Com/Bill WA Card 0698,Atm & Debit Card Withdrawals,-68.19,"434,410.12",,0,,,
Credit,6/18/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,278.75,"434,688.87",,0,,,
Credit,6/18/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,720,"435,408.87",,0,,,
Debit,6/18/2018,Recurring Card Purchase 06/15 Smk*Surveymonkey.Com 971-2445555 CA Card 0698,Atm & Debit Card Withdrawals,-29,"435,379.87",,0,,,
Credit,6/18/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,20,"435,399.87",,0,,,
Credit,6/19/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,123.75,"435,523.62",,0,,,
Debit,6/19/2018,Card Purchase 06/18 Javits Center Batch 212-2162319 NY Card 0698,Atm & Debit Card Withdrawals,-155.4,"435,368.22",,0,,,
Credit,6/20/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,20,"435,388.22",,0,,,
Credit,6/21/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,160,"435,548.22",,0,,,
Credit,6/22/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,20,"435,568.22",,0,,,
Credit,6/25/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,858.75,"436,426.97",,0,,,
Credit,6/25/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,20,"436,446.97",,0,,,
Credit,6/25/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,123.75,"436,570.72",,0,,,
Debit,6/26/2018,06/26 Online Payment 7171338554 To Over The River Public Relations,Electronic Withdrawals,"-3,000.00","433,570.72",,0,,,
Debit,6/26/2018,"06/26 Online Payment 7261238873 To Edison Media Research, Inc.",Electronic Withdrawals,"-30,000.00","403,570.72",,0,,,
